%time value spike threshold
7055.500000 2.426990 nan -18.190455
7055.600000 7.424905 nan -18.190455
7055.700000 3.672195 nan -18.190455
7055.800000 2.418030 nan -18.190455
7055.900000 1.167405 nan -18.190455
7056.000000 1.164695 nan -18.190455
7056.100000 4.504485 nan -18.190455
7056.200000 4.081780 nan -18.190455
7056.300000 5.751990 nan -18.190455
7056.400000 -0.499675 nan -18.190455
7056.500000 -2.173010 nan -18.190455
7056.600000 -0.928840 nan -18.190455
7056.700000 -0.512380 nan -18.190455
7056.800000 -6.769880 nan -18.190455
7056.900000 -3.029045 nan -18.190455
7057.000000 3.624495 nan -18.190455
7057.100000 8.208660 nan -18.190455
7057.200000 5.705740 nan -18.190455
7057.300000 2.786785 nan -18.190455
7057.400000 -0.547590 nan -18.190455
7057.500000 -3.891545 nan -18.190455
7057.600000 -5.974460 nan -18.190455
7057.700000 -3.897380 nan -18.190455
7057.800000 -3.900715 nan -18.190455
7057.900000 -8.482800 nan -18.190455
7058.000000 -2.234470 nan -18.190455
7058.100000 1.517200 nan -18.190455
7058.200000 1.096155 nan -18.190455
7058.300000 -1.402595 nan -18.190455
7058.400000 -3.904055 nan -18.190455
7058.500000 -4.318430 nan -18.190455
7058.600000 0.261155 nan -18.190455
7058.700000 -0.159675 nan -18.190455
7058.800000 1.930325 nan -18.190455
7058.900000 2.340535 nan -18.190455
7059.000000 4.428245 nan -18.190455
7059.100000 5.255745 nan -18.190455
7059.200000 2.755950 nan -18.190455
7059.300000 -2.241345 nan -18.190455
7059.400000 3.590325 nan -18.190455
7059.500000 3.179700 nan -18.190455
7059.600000 9.011785 nan -18.190455
7059.700000 5.681995 nan -18.190455
7059.800000 3.177830 nan -18.190455
7059.900000 6.925330 nan -18.190455
7060.000000 7.334080 nan -18.190455
7060.100000 9.422410 nan -18.190455
7060.200000 7.330330 nan -18.190455
7060.300000 9.002620 nan -18.190455
7060.400000 6.501575 nan -18.190455
7060.500000 6.074285 nan -18.190455
7060.600000 7.320330 nan -18.190455
7060.700000 0.240120 nan -18.190455
7060.800000 4.412410 nan -18.190455
7060.900000 10.660115 nan -18.190455
